 # beta   magnetization   energy
  0.20000000000000001       -2.6873779296874997E-004 -0.42782116699218747     
  0.22631578947368422       -4.1778564453124998E-004 -0.49421057128906248     
  0.25263157894736843        1.0620117187500000E-004 -0.56495056152343748     
  0.27894736842105261        2.6129150390624998E-004 -0.63941516113281249     
  0.30526315789473685       -2.9597778320312501E-003 -0.72123657226562499     
  0.33157894736842108        3.3372802734374998E-003 -0.81112915039062505     
  0.35789473684210527       -3.8986206054687500E-003 -0.91239355468750005     
  0.38421052631578945        6.0156250000000001E-003  -1.0273300781250001     
  0.41052631578947368        1.3467285156250000E-002  -1.1675408935546876     
  0.43684210526315792      -0.35422186279296874       -1.3684307861328124     
  0.46315789473684210       0.81319195556640622       -1.5927084960937501     
  0.48947368421052634       0.61451171874999999       -1.6729716796875000     
  0.51578947368421058       0.40425646972656248       -1.7267407226562499     
  0.54210526315789465       0.89187084960937502       -1.8269852294921876     
  0.56842105263157894       -8.3220031738281255E-002  -1.8183651123046876     
  0.59473684210526323      -0.57707678222656245       -1.8623438720703125     
  0.62105263157894730      -0.53241857910156254       -1.8826256103515624     
  0.64736842105263159       0.18046472167968750       -1.8866308593750001     
  0.67368421052631577       0.96971350097656250       -1.9499073486328125     
  0.69999999999999996      -0.80546014404296873       -1.9389564208984376     
